grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
4001,132.4651941,34.3990064,1775.5,地表面,1.94,京橋川,374.6,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
4002,132.4651805,34.3994569,1818.0,地表面,2.04,京橋川,341.3,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
4003,132.4651669,34.3999074,1860.8,地表面,2.24,京橋川,310.3,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
4004,132.4651533,34.4003578,1903.9,地表面,2.74,京橋川,280.6,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
4005,132.4651397,34.4008083,1947.4,地表面,2.84,京橋川,256.8,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
4006,132.4651261,34.4012588,1991.2,地表面,2.54,京橋川,240.1,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
4007,132.4666066,34.3701872,1972.3,地表面,0.04,京橋川,557.0,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
4008,132.466593,34.3706377,1929.4,地表面,-0.16,京橋川,550.2,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
4009,132.4665795,34.3710882,1886.8,地表面,0.14,京橋川,543.7,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
4010,132.4665659,34.3715387,1844.6,地表面,0.04,京橋川,539.1,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4011,132.4665523,34.3719892,1802.8,地表面,0.04,京橋川,535.3,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
